sys_time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,movement_events
1763026868.527649,20,-235,-92,-5624,-2238,-5454,0
1763026868.527649,23,-220,-103,-5691,-2206,-5467,0
1763026868.573054,18,-155,-94,-5710,-2164,-5476,0
1763026868.573054,23,-57,-64,-5671,-2118,-5486,0
1763026868.573054,34,19,-20,-5585,-2080,-5487,0
1763026868.573054,51,58,27,-5511,-2069,-5483,0
1763026868.573054,61,36,57,-5468,-2067,-5483,0
1763026868.618351,70,-18,56,-5463,-2087,-5490,0
1763026868.618351,72,-76,41,-5500,-2113,-5482,0
1763026868.618351,79,-120,18,-5544,-2151,-5467,0
1763026868.618351,74,-146,-14,-5575,-2188,-5451,0
1763026868.618351,58,-152,-51,-5616,-2237,-5480,0
1763026868.663402,51,-127,-90,-5645,-2265,-5498,0
1763026868.663402,39,-82,-110,-5647,-2279,-5494,0
1763026868.663402,26,-32,-112,-5610,-2275,-5501,0
1763026868.663402,22,14,-100,-5572,-2269,-5489,0
1763026868.663402,19,39,-89,-5571,-2307,-5499,0
1763026868.752803,9,27,-86,-5559,-2331,-5497,0
1763026868.752803,-5,-14,-85,-5555,-2305,-5470,0
1763026868.752803,-7,-37,-63,-5550,-2252,-5433,0
1763026868.752803,-20,-56,-53,-5563,-2206,-5454,0
1763026868.752803,-17,-62,-55,-5594,-2166,-5481,0
1763026868.755613,-12,-42,-41,-5614,-2145,-5488,0
1763026868.755613,-21,0,7,-5607,-2148,-5485,0
1763026868.755613,-15,34,47,-5585,-2152,-5485,0
1763026868.755613,-12,49,68,-5587,-2188,-5502,0
1763026868.755613,-8,56,73,-5583,-2220,-5494,0
1763026868.798362,-13,43,65,-5589,-2254,-5477,0
1763026868.798362,-19,21,56,-5569,-2267,-5458,0
1763026868.798362,-18,0,42,-5552,-2261,-5433,0
1763026868.798362,-21,-16,18,-5535,-2248,-5404,0
1763026868.798362,-30,-21,-14,-5529,-2234,-5420,0
1763026868.843866,-29,-49,-53,-5532,-2196,-5460,0
1763026868.843866,-3,-33,-70,-5518,-2144,-5429,0
1763026868.843866,18,-28,-57,-5512,-2131,-5429,0
1763026868.843866,38,-57,-39,-5519,-2149,-5445,0
1763026868.843866,65,-98,-41,-5556,-2199,-5432,0
1763026868.888354,68,-123,-49,-5620,-2265,-5404,0
1763026868.888354,54,-144,-55,-5677,-2312,-5402,0
1763026868.888354,28,-144,-62,-5732,-2364,-5428,0
1763026868.888354,-21,-114,-76,-5798,-2417,-5503,0
1763026868.888354,-89,-13,-90,-5811,-2457,-5511,0
1763026868.9334,-165,151,-104,-5786,-2495,-5532,0
1763026868.9334,-253,278,-125,-5679,-2470,-5598,0
1763026868.9334,-310,357,-152,-5543,-2353,-5596,0
1763026868.9334,-338,419,-154,-5406,-2248,-5597,0
1763026868.9334,-366,416,-147,-5288,-2160,-5613,0
1763026868.935858,-356,355,-148,-5246,-2100,-5636,0
1763026868.935858,-339,275,-154,-5261,-2068,-5555,0
1763026868.935858,-330,197,-148,-5334,-2049,-5419,0
1763026868.935858,-300,77,-176,-5512,-2062,-5396,0
1763026868.935858,-322,-75,-255,-5629,-2076,-5216,0
1763026868.977998,-394,-104,-354,-5791,-2140,-5284,0
1763026868.977998,-384,69,-415,-5942,-2193,-5507,0
1763026868.977998,-322,440,-368,-5884,-2188,-5514,0
1763026868.977998,-258,881,-191,-5662,-2159,-5525,0
1763026868.977998,-133,1063,5,-5452,-2164,-5668,0
1763026869.067872,-19,895,142,-5278,-2234,-5559,0
1763026869.067872,5,516,202,-5177,-2272,-5359,0
1763026869.067872,7,35,142,-5252,-2289,-5389,0
1763026869.067872,9,-392,8,-5406,-2246,-5406,0
1763026869.067872,-15,-576,-100,-5586,-2149,-5454,0
1763026869.070365,-31,-507,-139,-5698,-2037,-5579,0
